"SYMBOL","ENTREZID"
"AP3M2","10947"
"AP5B1","91056"
"APAF1","317"
"APC","324"
"APCDD1","147495"
"APELA","100506013"
"APEX1","328"
"APEX2","27301"
"APH1B","83464"
"API5","8539"
"APLF","200558"
"APLN","8862"
"APLNR","187"
"APMAP","57136"
"APOB","338"
"APOBEC3B","9582"
"APOBEC3C","27350"
"APOBEC3D","140564"
"APOBEC3F","200316"
"APOBEC3G","60489"
"APOC1","341"
"APOD","347"
"APOE","348"
"APOL1","8542"
"APOL2","23780"
"APOL3","80833"
"APOL6","80830"
"APOM","55937"
"APP","351"
"APPBP2","10513"
"APTX","54840"
"AQP4","361"
"AQP5","362"
"AQP7","364"
"AQP8","343"
"AQP9","366"
"AR","367"
"ARC","23237"
"AREG","374"
"ARF1","375"
"ARF6","382"
"ARFIP1","27236"
"ARG1","383"
"ARG2","384"
"ARHGAP35","2909"
"ARHGAP36","158763"
"ARHGEF2","9181"
"ARHGEF7","8874"
"ARID1A","8289"
"ARID3B","10620"
"ARL4D","379"
"ARL8B","55207"
"ARMC5","79798"
"ARMC7","79637"
"ARMH3","79591"
"ARNT","405"
"ARNTL","406"
"ARR3","407"
"ARRB1","408"
"ARRB2","409"
"ARRDC3","57561"
"ART1","417"
"ART3","419"
"ART4","420"
"ARX","170302"
"ASCC2","84164"
"ASCC3","10973"
"ASCL1","429"
"ASCL2","430"
"ASF1B","55723"
"ASH2L","9070"
"ASIC1","41"
"ASPM","259266"
"ASPN","54829"
"ASTN2","23245"
"ASXL1","171023"
"ATAD3A","55210"
"ATF1","466"
"ATF2","1386"
"ATF3","467"
"ATF4","468"
"ATF6","22926"
"ATG10","83734"
"ATG16L1","55054"
"ATG2A","23130"
"ATG5","9474"
"ATG7","10533"
"ATIC","471"
"ATL1","51062"
"ATL2","64225"
"ATL3","25923"
"ATM","472"
"ATOH1","474"
"ATOH7","220202"
"ATOH8","84913"
"ATP10D","57205"
"ATP13A2","23400"
"ATP1A1","476"
"ATP2A2","488"
"ATP2B1","490"
"ATP5F1A","498"
"ATP5F1C","509"
"ATP6V1B1","525"
"ATP6V1H","51606"
"ATP7A","538"
"ATP7B","540"
"ATPAF1","64756"
"ATPSCKMT","134145"
"ATR","545"
"ATRX","546"
"ATXN1","6310"
"ATXN1L","342371"
"ATXN2","6311"
"ATXN2L","11273"
"ATXN3","4287"
"ATXN7L2","127002"
"AUNIP","79000"
"AURKA","6790"
"AURKB","9212"
"AURKC","6795"
"AVPR1A","552"
"AVPR1B","553"
"AVPR2","554"
"AXIN1","8312"
"AXIN2","8313"
"AXL","558"
"B3GAT1","27087"
"B3GNT3","10331"
"B3GNT6","192134"
"B4GAT1","11041"
"BAALC","79870"
"BAAT","570"
"BACE1","23621"
"BACE2","25825"
"BACH2","60468"
"BAD","572"
"BAG2","9532"
"BAG3","9531"
"BAG6","7917"
"BAIAP2","10458"
"BAK1","578"
"BANK1","55024"
"BAP1","8314"
"BARD1","580"
"BARHL2","343472"
"BARX2","8538"
"BATF","10538"
"BATF3","55509"
"BAX","581"
"BAZ2B","29994"
"BBC3","27113"
"BCAM","4059"
"BCAN","63827"
"BCAR1","9564"
"BCAR3","8412"
"BCAR4","400500"
"BCAS3","54828"
"BCCIP","56647"
"BCHE","590"
"BCKDK","10295"
"BCL10","8915"
"BCL11A","53335"
"BCL11B","64919"
"BCL2","596"
"BCL2A1","597"
"BCL2L1","598"
"BCL2L11","10018"
"BCL2L12","83596"
"BCL2L13","23786"
"BCL2L2","599"
"BCL3","602"
"BCL6","604"
"BCL6B","255877"
"BCL7B","9275"
"BCL7C","9274"
"BCOR","54880"
"BCORL1","63035"
"BCR","613"
"BDKRB1","623"
"BDKRB2","624"
"BDNF","627"
"BEAN1","146227"
"BECN1","8678"
"BEX2","84707"
"BFSP1","631"
"BFSP2","8419"
"BHMT","635"
"BICRAL","23506"
"BID","637"
"BIK","638"
"BIRC2","329"
"BIRC5","332"
"BIRC7","79444"
"BLK","640"
"BLM","641"
"BLNK","29760"
"BLOC1S2","282991"
"BLVRA","644"
"BMI1","648"
"BMP2","650"
"BMP2K","55589"
"BMP4","652"
"BMP5","653"
"BMP6","654"
"BMP7","655"
"BMP8A","353500"
"BMP8B","656"
"BMPER","168667"
"BMPR1A","657"
"BMPR1B","658"
"BMPR2","659"
"BNC1","646"
"BNC2","54796"
"BNIP3","664"
"BOLL","66037"
"BRAF","673"
"BRCA1","672"
"BRCA2","675"
"BRD3","8019"
"BRD4","23476"
"BRDT","676"
"BRI3BP","140707"
"BRINP1","1620"
"BRIP1","83990"
"BRIX1","55299"
"BRSK2","9024"
"BSDC1","55108"
"BST1","683"
"BTAF1","9044"
"BTBD9","114781"
"BTK","695"
"BTLA","151888"
"BTN3A1","11119"
"BTNL2","56244"
"BTNL8","79908"
"BTRC","8945"
"BUB1","699"
"BUB1B","701"
"BVES","11149"
"C1GALT1","56913"
"C1QA","712"
"C1QB","713"
"C1QBP","708"
"C1QC","714"
"C1QL3","389941"
"C1QTNF1","114897"
"C1QTNF6","114904"
"C1QTNF9","338872"
"C1RL","51279"
"C3AR1","719"
"C4A","720"
"C4B","721"
"C5","727"
"C5AR1","728"
"C6","729"
"C8B","732"
"C8G","733"
"C9","735"
"CA10","56934"
"CA12","771"
"CA14","23632"
"CA4","762"
"CA9","768"
"CABCOCO1","219621"
"CABP4","57010"
"CABYR","26256"
"CACNA1B","774"
"CACNA1C","775"
"CACNA1D","776"
"CACNA1G","8913"
"CACNA1H","8912"
"CACNA2D1","781"
"CACNG3","10368"
"CACNG4","27092"
"CACNG5","27091"
"CACUL1","143384"
"CACYBP","27101"
"CAD","790"
"CADM3","57863"
"CADM4","199731"
"CALB1","793"
"CALB2","794"
"CALCA","796"
"CALCB","797"
"CALCR","799"
"CALCRL","10203"
"CALM3","808"
"CALML3","810"
"CALR3","125972"
"CAMK1","8536"
"CAMK2A","815"
"CAMK2B","816"
"CAMK2D","817"
"CAMK2G","818"
"CAMKV","79012"
"CAMP","820"
"CAMSAP2","23271"
"CAND1","55832"
"CANX","821"
"CAPN1","823"
"CAPN3","825"
"CARD10","29775"
"CARD11","84433"
"CARD14","79092"
"CARD8","22900"
"CARD9","64170"
"CARF","79800"
"CARM1","10498"
"CARTPT","9607"
"CASC8","727677"
"CASK","8573"
"CASP1","834"
"CASP10","843"
"CASP2","835"
"CASP3","836"
"CASP6","839"
"CASP7","840"
"CASP8","841"
"CASP8AP2","9994"
"CASP9","842"
"CASQ2","845"
"CASR","846"
"CASS4","57091"
"CASZ1","54897"
"CAT","847"
"CATSPER2","117155"
"CAV2","858"
"CAVIN2","8436"
"CAVIN3","112464"
"CBARP","255057"
"CBFB","865"
"CBL","867"
"CBLB","868"
"CBLIF","2694"
"CBLN1","869"
"CBLN3","643866"
"CBLN4","140689"
"CBR1","873"
"CBS","875"
"CBSL","102724560"
"CBWD2","150472"
"CBX1","10951"
"CBX3","11335"
"CBX5","23468"
"CBX7","23492"
"CC2D1A","54862"
"CCAR2","57805"
"CCAT2","101805488"
"CCBE1","147372"
"CCDC102B","79839"
"CCDC103","388389"
"CCDC113","29070"
"CCDC124","115098"
"CCDC136","64753"
"CCDC137","339230"
"CCDC14","64770"
"CCDC141","285025"
"CCDC170","80129"
"CCDC27","148870"
"CCDC33","80125"
"CCDC43","124808"
"CCDC50","152137"
"CCDC51","79714"
"CCDC57","284001"
"CCDC6","8030"
"CCDC61","729440"
"CCDC62","84660"
"CCDC7","79741"
"CCDC77","84318"
"CCDC80","151887"
"CCDC86","79080"
"CCDC9","26093"
"CCDC91","55297"
"CCK","885"
"CCKAR","886"
"CCKBR","887"
"CCL1","6346"
"CCL11","6356"
"CCL13","6357"
"CCL14","6358"
"CCL15","6359"
"CCL16","6360"
"CCL17","6361"
"CCL18","6362"
"CCL19","6363"
"CCL2","6347"
"CCL20","6364"
"CCL22","6367"
"CCL23","6368"
"CCL24","6369"
"CCL25","6370"
"CCL26","10344"
"CCL27","10850"
"CCL28","56477"
"CCL3","6348"
"CCL5","6352"
"CCL7","6354"
"CCL8","6355"
"CCN1","3491"
"CCN2","1490"
"CCN3","4856"
"CCN4","8840"
"CCN5","8839"
"CCNA1","8900"
"CCNA2","890"
"CCNB1","891"
"CCNB2","9133"
"CCNB3","85417"
"CCND1","595"
"CCND2","894"
"CCND3","896"
"CCNDBP1","23582"
"CCNE1","898"
"CCNO","10309"
"CCNT1","904"
"CCNY","219771"
"CCR1","1230"
"CCR2","729230"
"CCR3","1232"
"CCR4","1233"
"CCR5","1234"
"CCR6","1235"
"CCR7","1236"
"CCR8","1237"
"CCR9","10803"
"CCRL2","9034"
"CCT2","10576"
"CCT3","7203"
"CCT5","22948"
"CCT6A","908"
"CCT7","10574"
"CCT8","10694"
"CD101","9398"
"CD109","135228"
"CD14","929"
"CD151","977"
"CD160","11126"
"CD163","9332"
"CD177","57126"
"CD180","4064"
"CD19","930"
"CD1A","909"
"CD1B","910"
"CD1C","911"
"CD1D","912"
"CD1E","913"
"CD2","914"
"CD200","4345"
"CD207","50489"
"CD209","30835"
"CD22","933"
"CD226","10666"
"CD24","100133941"
"CD244","51744"
"CD247","919"
"CD248","57124"
"CD27","939"
"CD274","29126"
"CD276","80381"
"CD28","940"
"CD2AP","23607"
"CD2BP2","10421"
"CD300A","11314"
"CD300C","10871"
"CD300E","342510"
"CD302","9936"
"CD320","51293"
"CD33","945"
"CD34","947"
"CD36","948"
"CD38","952"
"CD3E","916"
"CD3EAP","10849"
"CD3G","917"
"CD4","920"
"CD40","958"
"CD40LG","959"
"CD44","960"
"CD46","4179"
"CD47","961"
"CD5","921"
"CD55","1604"
"CD58","965"
"CD59","966"
"CD5L","922"
"CD6","923"
"CD68","968"
"CD7","924"
"CD70","970"
"CD72","971"
"CD74","972"
"CD79A","973"
"CD79B","974"
"CD80","941"
"CD82","3732"
"CD83","9308"
"CD84","8832"
"CD86","942"
"CD8A","925"
"CD8B","926"
"CD93","22918"
"CD96","10225"
"CD99","4267"
"CDA","978"
"CDAN1","146059"
"CDC123","8872"
"CDC14A","8556"
"CDC20","991"
"CDC25A","993"
"CDC25C","995"
"CDC27","996"
"CDC34","997"
"CDC37","11140"
"CDC42","998"
"CDC42BPG","55561"
"CDC6","990"
"CDC73","79577"
"CDCA2","157313"
"CDCA3","83461"
"CDCA7L","55536"
"CDCP1","64866"
"CDH1","999"
"CDH11","1009"
"CDH13","1012"
"CDH16","1014"
"CDH17","1015"
"CDH2","1000"
"CDH22","64405"
"CDH23","64072"
"CDH3","1001"
"CDH5","1003"
"CDH6","1004"
"CDH7","1005"
"CDHR1","92211"
"CDHR2","54825"
"CDK1","983"
"CDK10","8558"
"CDK14","5218"
"CDK16","5127"
"CDK17","5128"
"CDK18","5129"
"CDK2","1017"
"CDK3","1018"
"CDK4","1019"
"CDK5","1020"
"CDK5RAP1","51654"
"CDK6","1021"
"CDK7","1022"
"CDK8","1024"
"CDK9","1025"
"CDKAL1","54901"
"CDKL1","8814"
"CDKL3","51265"
"CDKN1A","1026"
"CDKN1B","1027"
"CDKN1C","1028"
"CDKN2A","1029"
"CDKN2AIP","55602"
"CDKN2B","1030"
"CDKN3","1033"
"CDR2L","30850"
"CDSN","1041"
"CDV3","55573"
"CDX1","1044"
"CDX2","1045"
"CEACAM1","634"
"CEACAM3","1084"
"CEACAM5","1048"
"CEACAM8","1088"
"CEBPA","1050"
"CELSR1","9620"
"CELSR2","1952"
"CELSR3","1951"
"CEMIP2","23670"
"CENPA","1058"
"CENPB","1059"
"CENPF","1063"
"CENPV","201161"
"CEP112","201134"
"CEP128","145508"
"CEP170","9859"
"CEP19","84984"
"CEP44","80817"
"CEP55","55165"
"CEP85","64793"
"CES1","1066"
"CETP","1071"
"CFAP20","29105"
"CFAP43","80217"
"CFAP46","54777"
"CFAP47","286464"
"CFB","629"
"CFC1","55997"
"CFD","1675"
"CFDP1","10428"
"CFH","3075"
"CFHR1","3078"
"CFL2","1073"
"CFLAR","8837"
"CFP","5199"
"CFTR","1080"
"CGAS","115004"
"CGB3","1082"
"CGNL1","84952"
"CGRRF1","10668"
"CH25H","9023"
"CHAD","1101"
"CHAF1A","10036"
"CHAMP1","283489"
"CHD3","1107"
"CHD5","26038"
"CHD7","55636"
"CHEK1","1111"
"CHEK2","11200"
"CHFR","55743"
"CHIT1","1118"
"CHKA","1119"
"CHODL","140578"
"CHRAC1","54108"
"CHRDL2","25884"
"CHRM1","1128"
"CHRM2","1129"
"CHRM3","1131"
"CHRM4","1132"
"CHRM5","1133"
"CHRNA2","1135"
"CHRNA3","1136"
"CHRNA4","1137"
"CHRNA5","1138"
"CHRNA6","8973"
"CHRNA7","1139"
"CHRNB1","1140"
"CHRNB2","1141"
"CHRNB3","1142"
"CHRNB4","1143"
"CHST8","64377"
"CHUK","1147"
"CIDEC","63924"
"CIITA","4261"
"CILP2","148113"
"CINP","51550"
"CIP2A","57650"
"CISD2","493856"
"CKAP2","26586"
"CKAP4","10970"
"CKAP5","9793"
"CKS2","1164"
"CLCN3","1182"
"CLCN4","1183"
"CLCN5","1184"
"CLDN1","9076"
"CLDN18","51208"
"CLDN5","7122"
"CLDN7","1366"
"CLEC10A","10462"
"CLEC12A","160364"
"CLEC14A","161198"
"CLEC16A","23274"
"CLEC2A","387836"
"CLEC4A","50856"
"CLEC4C","170482"
"CLEC4D","338339"
"CLEC4M","10332"
"CLEC5A","23601"
"CLEC6A","93978"
"CLEC7A","64581"
"CLEC9A","283420"
"CLGN","1047"
"CLIC3","9022"
"CLIC4","25932"
"CLIC6","54102"
"CLK2","1196"
"CLK3","1198"
"CLK4","57396"
"CLN3","1201"
"CLN5","1203"
"CLNK","116449"
"CLOCK","9575"
"CLPTM1L","81037"
"CLPX","10845"
"CLRN3","119467"
"CLSTN1","22883"
"CLSTN3","9746"
"CLTC","1213"
"CMA1","1215"
"CMKLR1","1240"
"CMSS1","84319"
"CMTM5","116173"
"CMTM8","152189"
"CMYA5","202333"
"CNDP1","84735"
"CNGB1","1258"
"CNGB3","54714"
"CNIH4","29097"
"CNKSR3","154043"
"CNMD","11061"
"CNNM1","26507"
"CNNM3","26505"
"CNOT1","23019"
"CNP","1267"
"CNR1","1268"
"CNR2","1269"
"CNRIP1","25927"
"CNST","163882"
"CNTF","1270"
"CNTLN","54875"
"CNTN2","6900"
"CNTN6","27255"
"CNTNAP1","8506"
"CNTNAP3","79937"
"CNTNAP4","85445"
"CNTROB","116840"
"COASY","80347"
"COBLL1","22837"
"COCH","1690"
"COIL","8161"
"COL10A1","1300"
"COL11A1","1301"
"COL17A1","1308"
"COL18A1","80781"
"COL1A1","1277"
"COL23A1","91522"
"COL25A1","84570"
"COL2A1","1280"
"COL3A1","1281"
"COL4A1","1282"
"COL4A2","1284"
"COL4A3","1285"
"COL4A4","1286"
"COL4A5","1287"
"COL5A1","1289"
"COL5A2","1290"
"COL7A1","1294"
"COLEC12","81035"
"COLQ","8292"
"COMP","1311"
"COMT","1312"
"COPS5","10987"
"COQ8A","56997"
"CORIN","10699"
"CORO1B","57175"
"CORO1C","23603"
"CORT","1325"
"CP","1356"
"CPA1","1357"
"CPA4","51200"
"CPA5","93979"
"CPA6","57094"
"CPB2","1361"
"CPEB1","64506"
"CPEB2","132864"
"CPEB3","22849"
"CPLX3","594855"
"CPNE9","151835"
"CPS1","1373"
"CPSF6","11052"
"CPT1A","1374"
"CPVL","54504"
"CPXM2","119587"
"CPZ","8532"
"CR1","1378"
"CR2","1380"
"CRABP2","1382"
"CRB2","286204"
"CREB1","1385"
"CREB3","10488"
"CREB5","9586"
"CREBBP","1387"
"CREG1","8804"
"CREG2","200407"
"CRH","1392"
"CRHR1","1394"
"CRHR2","1395"
"CRIPT","9419"
"CRK","1398"
"CRKL","1399"
"CRNDE","643911"
"CRNN","49860"
"CRTAC1","55118"
"CRTAM","56253"
"CRY2","1408"
"CRYAA","1409"
"CRYBB3","1417"
"CRYBG1","202"
"CRYBG3","131544"
"CRYGC","1420"
"CRYGS","1427"
"CRYZ","1429"
"CRYZL1","9946"
"CSE1L","1434"
"CSF1","1435"
"CSF1R","1436"
"CSF2","1437"
"CSF2RA","1438"
"CSF2RB","1439"
"CSF3","1440"
"CSF3R","1441"
"CSK","1445"
"CSNK1A1","1452"
"CSNK1A1L","122011"
"CSNK1E","1454"
"CSNK1G1","53944"
"CSNK2A1","1457"
"CSNK2A2","1459"
"CSNK2B","1460"
"CSPG4","1464"
"CSPP1","79848"
"CSRP1","1465"
"CSRP3","8048"
"CST1","1469"
"CST2","1470"
"CST4","1472"
"CST5","1473"
"CST6","1474"
"CST7","8530"
"CTAG1B","1485"
"CTBP1","1487"
"CTBP2","1488"
"CTCF","10664"
"CTCFL","140690"
"CTDSPL","10217"
"CTH","1491"
"CTHRC1","115908"
"CTLA4","1493"
"CTNNA1","1495"
"CTNNAL1","8727"
"CTNNB1","1499"
"CTNND1","1500"
"CTNND2","1501"
"CTRL","1506"
"CTSA","5476"
"CTSC","1075"
"CTSE","1510"
"CTSG","1511"
"CTSH","1512"
"CTSK","1513"
"CTSL","1514"
"CTSV","1515"
"CTTN","2017"
"CTTNBP2NL","55917"
"CTXN3","613212"
"CUBN","8029"
"CUEDC2","79004"
"CUL1","8454"
"CUL2","8453"
"CUL3","8452"
"CUL4A","8451"
"CUL4B","8450"
"CUL5","8065"
"CUTA","51596"
"CUX2","23316"
"CUZD1","50624"
"CX3CL1","6376"
"CX3CR1","1524"
"CXADR","1525"
"CXCL10","3627"
"CXCL11","6373"
"CXCL12","6387"
"CXCL13","10563"
"CXCL16","58191"
"CXCL2","2920"
"CXCL3","2921"
"CXCL5","6374"
"CXCL6","6372"
"CXCL8","3576"
"CXCL9","4283"
"CXCR1","3577"
"CXCR2","3579"
"CXCR3","2833"
"CXCR4","7852"
"CXCR5","643"
"CXCR6","10663"
"CYBA","1535"
"CYBB","1536"
"CYBC1","79415"
"CYCS","54205"
"CYFIP2","26999"
"CYHR1","50626"
"CYLD","1540"
"CYP11A1","1583"
"CYP11B2","1585"
"CYP17A1","1586"
"CYP19A1","1588"
"CYP1A1","1543"
"CYP1A2","1544"
"CYP1B1","1545"
"CYP20A1","57404"
"CYP24A1","1591"
"CYP27A1","1593"
"CYP27B1","1594"
"CYP2A6","1548"
"CYP2C19","1557"
"CYP2C8","1558"
"CYP2C9","1559"
"CYP2D6","1565"
"CYP2J2","1573"
"CYP3A5","1577"
"CYP3A7","1551"
"CYP46A1","10858"
"CYP4F2","8529"
"CYP7A1","1581"
"CYREN","78996"
"CYSLTR1","10800"
"CYSLTR2","57105"
"CYTH2","9266"
"CYTOR","112597"
"DAB1","1600"
"DAB2","1601"
"DACH1","1602"
"DACH2","117154"
"DACT2","168002"
"DAG1","1605"
"DAO","1610"
"DAOA","267012"
"DAP","1611"
"DAP3","7818"
"DAPK1","1612"
"DAXX","1616"
"DAZAP1","26528"
"DAZAP2","9802"
"DAZL","1618"
"DBN1","1627"
"DBR1","51163"
"DCAF1","9730"
"DCDC1","341019"
"DCLK1","9201"
"DCT","1638"
"DCTN1","1639"
"DCX","1641"
"DDB1","1642"
"DDB2","1643"
"DDC","1644"
"DDI2","84301"
"DDIT3","1649"
"DDIT4L","115265"
"DDR1","780"
"DDR2","4921"
"DDX1","1653"
"DDX10","1662"
"DDX19A","55308"
"DDX20","11218"
"DDX21","9188"
"DDX25","29118"
"DDX27","55661"
"DDX28","55794"
"DDX31","64794"
"DDX39B","7919"
"DDX3X","1654"
"DDX3Y","8653"
"DDX43","55510"
"DDX50","79009"
"DDX51","317781"
"DDX53","168400"
"DDX55","57696"
"DDX58","23586"
"DDX6","1656"
"DEFA1","1667"
"DEFA6","1671"
"DEFB103B","55894"
"DEFB4A","1673"
"DEK","7913"
"DEPDC7","91614"
"DEPTOR","64798"
"DERL3","91319"
"DES","1674"
"DGAT1","8694"
"DHCR24","1718"
"DHCR7","1717"
"DHDDS","79947"
"DHFR","1719"
"DHODH","1723"
"DHRS1","115817"
"DHRS2","10202"
"DHRS9","10170"
"DHX29","54505"
"DHX30","22907"
"DHX34","9704"
"DHX57","90957"
"DHX9","1660"
"DIABLO","56616"
"DICER1","23405"
"DIO2","1734"
"DIP2A","23181"
"DIP2B","57609"
"DIRAS3","9077"
"DIS3","22894"
"DIS3L2","129563"
"DISC1","27185"
"DISP1","84976"
"DKC1","1736"
"DKK1","22943"
"DKK3","27122"
"DLD","1738"
"DLEC1","9940"
"DLEU1","10301"
"DLEU2","8847"
"DLG1","1739"
"DLG4","1742"
"DLK1","8788"
"DLK2","65989"
"DLL1","28514"
"DLL3","10683"
"DLL4","54567"
"DLX4","1748"
"DMBX1","127343"
"DMD","1756"
"DMKN","93099"
"DMPK","1760"
"DMRT2","10655"
"DMWD","1762"
"DMXL1","1657"
"DMXL2","23312"
"DNAH1","25981"
"DNAH10","196385"
"DNAH11","8701"
"DNAH12","201625"
"DNAH14","127602"
"DNAH2","146754"
"DNAH5","1767"
"DNAH7","56171"
"DNAH8","1769"
"DNAH9","1770"
"DNAI1","27019"
"DNAJA1","3301"
"DNAJA3","9093"
"DNAJB12","54788"
"DNAJB2","3300"
"DNAJB4","11080"
"DNAJB5","25822"
"DNAJC10","54431"
"DNAJC17","55192"
"DNAJC9","23234"
"DNASE1L3","1776"
"DNM1","1759"
"DNM2","1785"
"DNMT1","1786"
"DNMT3A","1788"
"DNMT3B","1789"
"DNPEP","23549"
"DNTT","1791"
"DOC2A","8448"
"DOCK9","23348"
"DOK5","55816"
"DOK7","285489"
"DOT1L","84444"
"DPAGT1","1798"
"DPF2","5977"
"DPF3","8110"
"DPM1","8813"
"DPP4","1803"
"DPP8","54878"
"DPPA2","151871"
"DPT","1805"
"DPY19L2","283417"
"DPYD","1806"
"DPYSL2","1808"
"DRAM1","55332"
"DRC1","92749"
"DRC3","83450"
"DRD1","1812"
"DRD2","1813"
"DRD3","1814"
"DRD5","1816"
"DRG1","4733"
"DSG1","1828"
"DSG2","1829"
"DSG3","1830"
"DST","667"
"DTNA","1837"
"DTNBP1","84062"
"DTX1","1840"
"DUOX2","50506"
"DUOXA1","90527"
"DUOXA2","405753"
"DUSP13","128854680"
"DUSP23","54935"
"DUSP28","285193"
"DUSP5","1847"
"DUSP6","1848"
"DUX4","100288687"
"DVL1","1855"
"DVL2","1856"
"DVL3","1857"
"DYDC1","143241"
"DYNC1H1","1778"
"DYRK1A","1859"
"DYRK1B","9149"
"DZIP1L","199221"
"E2F1","1869"
"E2F3","1871"
"E2F4","1874"
"E4F1","1877"
"EBF1","1879"
"EBF2","64641"
"EBI3","10148"
"EBP","10682"
"ECD","11319"
"ECE1","1889"
"ECEL1","9427"
"ECHDC1","55862"
"ECHS1","1892"
"ECPAS","23392"
"ECRG4","84417"
"ECSIT","51295"
"EDA","1896"
"EDIL3","10085"
"EDN1","1906"
